feature_id,domain,hufmanager_feature,hufmanager_status,source_location,historical_evidence,hufiapp_status,hufiapp_location,gap_type,user_value_0_5,domain_uniqueness_0_5,migration_effort_1_5,loss_risk_0_5,cross_profession_reuse_0_5,recommended_hufi_module,recommendation,evidence_level,open_question
H1,Hufspezifische Fachfunktionen,LTZ-Hufanalyse-Assistent strukturiert mehrstufig pro Huf,live,src/components/hoof-analysis/LTZAnalysisWizard.tsx;ltz-constants.ts,none,identisch,gleiche Dateien,A,5,5,1,5,4,Hufi Brain + Unterbereich Aufraege/Dokumentation,Hoechste Prioritaet - explizit kuratieren,nachgewiesen,none
H2,Hufspezifische Fachfunktionen,Automatische Empfehlungsgenerierung aus Hufanalyse,live,src/components/hoof-analysis/ltz-constants.ts generateRecommendations(),none,identisch,gleiche Datei,A,5,5,1,5,5,Hufi Brain,Als wiederverwendbares Regelwerk verallgemeinern,nachgewiesen,none
H3,Hufspezifische Fachfunktionen,Foto Vorher/Nachher-Vergleich (zwei Implementierungen),live dupliziert,src/components/pferdeakte/HoofPhotoComparison.tsx;src/components/horse-detail/HoofPhotoTimeline.tsx,none,identisch,gleiche Dateien,B,4,3,2,3,4,Unterbereich Hufanalyse,Auf eine Implementierung konsolidieren,nachgewiesen,none
H4,Hufspezifische Fachfunktionen,KI-Hufbild-Analyse Edge Function,Backend vorhanden kein UI-Aufrufer gefunden,supabase/functions/analyze-hoof-image,none,identisch,gleiche Function,C,4,4,3,3,3,Hufi Brain,Pruefen ob fertig; sichtbar machen,nachgewiesen (Existenz); unklar (Aufrufer),Gibt es einen UI-Einstieg der im Grep nicht gefunden wurde?
H5,Hufspezifische Fachfunktionen,Vier separate Huf-Datenmodelle hoof_entries/history/photos/analyses,unklar konsolidiert,supabase/migrations (Tabellen hoof_entries hoof_history hoof_photos hoof_analyses),none,identisch,gleiche Migrationen,G,3,2,4,3,3,Hufi Brain / Datenmodell-Review,Vor Umbau Datenmodell-Review noetig,nachgewiesen (Existenz); unklar (Verhaeltnis),Wie haengen die vier Tabellen fachlich zusammen?
H6,Hufspezifische Fachfunktionen,Individuelles Bearbeitungsintervall statt fixer 8 Wochen,teils gefixt laut Roadmap Status danach nicht erneut verifiziert,shoeing_interval-Feld; src/lib/hufi-brain.ts,HUFI_ROADMAP.md Schritt 1 15.07.2026,ungeprueft,vermutlich identisch,G,4,3,2,3,4,Hufi Brain,Verifizieren - hoher Praxiswert,wahrscheinlich,Wird das individuelle Intervall inzwischen ueberall statt des festen Werts genutzt?
T1,Termine und mobile Ablaeufe,Kalender Tag/Wochenansicht,live Nutzerfeedback technisch,src/pages/Kalender.tsx;DesktopBigCalendarView.tsx,HUFI_TODO.md UI-Sanierung,identisch,gleiche Dateien,B,5,1,3,4,5,Termine,Visuelles Redesign lohnt sich Datenmodell behalten,nachgewiesen,none
T2,Termine und mobile Ablaeufe,Tourenplanung Routing Fahrtenbuch,live funktional breit,src/components/tour-manager/*,none,identisch,gleiche Dateien,A,5,4,1,5,4,Betrieb & Ressourcen (adaptiv) / Unterbereich Termine,Kernstaerke fuer mobile Berufe erhalten,nachgewiesen,none
T3,Termine und mobile Ablaeufe,Terminstatus freier Text ohne Constraint,bekannte Falle,appointments.status (Tabelle),CLAUDE.md beide Repos,identisch,gleiche Tabelle,B,3,1,2,3,4,Termine,DB-Constraint nachziehen,nachgewiesen,none
T4,Termine und mobile Ablaeufe,Automatische Folgetermin-Vorschlaege nach individuellem Intervall,teils gebaut,hufi_followup_suggestions;needsServiceCheck(),HUFI_ROADMAP.md Schritt 4,ungeprueft,vermutlich identisch,G,5,4,2,4,5,Hufi-Startseite (proaktiv) + Hufi Brain,Kernversprechen - Status vor Priorisierung klaeren,wahrscheinlich,Laeuft die proaktive Vorschlagslogik zuverlaessig?
T5,Termine und mobile Ablaeufe,Offline-Faehigkeit fuer Termine/Tour,nur Status-Anzeige keine echte Offline-Datenhaltung,src/components/offline/OfflineBanner.tsx etc,none,neue Offline-Foundation vorhanden aber nur fuer Assistent-Drafts,src/lib/offline/*;src/hooks/offline/*,E,4,2,4,3,5,Termine (Unterbereich Offline),Neue Offline-Foundation auf Termine/Tour ausweiten,nachgewiesen,none
T6,Termine und mobile Ablaeufe,Mahnwesen ohne Cron-Trigger,Code fertig nie automatisch ausgeloest,supabase/functions/check-overdue-invoices,AUDIT_REPORT.md F-7;HUFI_TODO.md,identisch,gleiche Function,C,4,2,1,4,4,Unterbereich Rechnungen & Finanzen,Cron-Eintrag ergaenzen - hoher Hebel geringer Aufwand,nachgewiesen,none
D1,Dienstleistungen und Preise,Leistungsverwaltung services,Backend aktiv Verwaltungsseite verwaist,src/pages/Services.tsx,HUFI_ROADMAP.md Schritt 15,identisch,gleiche Datei,C,4,2,2,4,5,Dienstleistungen & Preise (adaptiv),In Kernmodul einbinden statt separate Seite,nachgewiesen,none
D2,Dienstleistungen und Preise,Preisgruppen/Rabattstaffeln,siehe K2,service_price_overrides (Tabelle),PRICE_GROUPS_GUIDE.md,identisch,gleiche Tabelle,C,4,3,2,3,4,Unterbereich Kunden/Dienstleistungen,siehe K2,nachgewiesen,none
D3,Dienstleistungen und Preise,Angebote vs Mein Angebot - zwei Konzepte parallel,unklares Verhaeltnis,src/pages/Angebote.tsx;src/pages/MeinAngebot.tsx,HUFI_ROADMAP.md Schritt 15 Routenkorrektur,identisch,gleiche Dateien,G,3,2,2,2,3,Dienstleistungen & Preise,Vor Zusammenfuehrung klaeren was gemeint war,nachgewiesen (Existenz); unklar (Absicht),Was war der urspruengliche Unterschied zwischen Angebote und Mein Angebot?
D4,Dienstleistungen und Preise,Kalkulator,verwaist,src/pages/Kalkulator.tsx,HUFI_ROADMAP.md Schritt 15,identisch,gleiche Datei,C,2,2,2,2,3,Archiv,Niedrige Prioritaet ggf archivieren,nachgewiesen,none
R1,Rechnungen Zahlungen Steuer,Rechnungserstellung Positionen Fahrtkosten PDF,live,src/components/invoices/*,none,identisch,gleiche Dateien,A,5,3,1,5,5,Rechnungen & Finanzen,Kernmodul unbedingt erhalten,nachgewiesen,none
R2,Rechnungen Zahlungen Steuer,Rechnungsversand E-Mail/WhatsApp historisch defekt,Fix laut Doku gebaut Deploy-Status offen,src/components/invoices/ClientInvoicesSection.tsx;supabase/functions/send-invoice-email,HUFI_TODO.md 27.07.2026,ungeprueft,identisch (gleicher Code-Stand vermutlich),G,5,2,1,5,5,Rechnungen & Finanzen,Vor jeder Weiterentwicklung echten Testversand durchfuehren,nachgewiesen (Bug); unklar (ob gefixt live),Kommt eine Test-Rechnung tatsaechlich beim Kunden an?
R3,Rechnungen Zahlungen Steuer,Mahnwesen,siehe T6,supabase/functions/check-overdue-invoices,AUDIT_REPORT.md,identisch,gleiche Function,C,4,2,1,4,4,Rechnungen & Finanzen,siehe T6,nachgewiesen,none
R4,Rechnungen Zahlungen Steuer,CopeCart-Integration Abo/Guthaben,live mit historisch gravierenden IPN-Bugs groesstenteils gefixt,supabase/functions/copecart-webhook,HUFI_TODO.md IPN-Spec-Abgleich 27.07.2026,identisch,gleiche Function,B,5,1,2,5,3,Hamburger-Menue (Abo/Guthaben),Vor Parken Testkauf-Verifikation wiederholen,nachgewiesen,Stimmen CopeCart- und Supabase-IPN-Secret ueberein?
R5,Rechnungen Zahlungen Steuer,Buchhaltung EUER/USt-Voranmeldung/Export,live-Komponenten keine steuerliche Korrektheit geprueft,src/components/buchhaltung/*,none,identisch,gleiche Dateien,B,4,3,3,4,4,Unterbereich Rechnungen & Finanzen,Fachlich mit Steuerberater absichern,nachgewiesen (Existenz); keine Aussage zur Korrektheit,Ist die steuerliche Berechnung korrekt? (keine Rechtsberatung in diesem Bericht)
R6,Rechnungen Zahlungen Steuer,Steuerberater-Zugang,bewusst deaktiviert Fake entfernt,src/components/buchhaltung/SteuerberaterAccess.tsx,HUFI_ROADMAP.md Schritt 15,identisch,gleiche Datei,D,2,1,3,1,2,Archiv,Neu bauen falls gewuenscht nicht der alte Fake-Weg,nachgewiesen,none
R7,Rechnungen Zahlungen Steuer,Trial-Ablauf-Automatik,Migration vorhanden nicht aktiv registriert,supabase/migrations/20260610091000_trial_expiry_cron.sql,AUDIT_REPORT.md F-19,identisch,gleiche Migration,C,4,1,1,3,3,Administration,Pruefen/registrieren - direkter Umsatzhebel,nachgewiesen,Ist der Cron-Job inzwischen registriert?
E1,Dokumente Export Archiv,PDF-Berichte Huf/Pferd/Partner/Impfung,live,supabase/functions/generate-full-horse-report etc,none,identisch,gleiche Functions,A,5,3,1,5,4,Unterbereich Dokumentation,Erhalten,nachgewiesen,none
E2,Dokumente Export Archiv,DSGVO Art 15/17 Export und Loeschung,live echt implementiert,supabase/functions/data-export;delete-my-account,HUFI_TODO.md bestaetigt kein Fake,identisch,gleiche Functions,A,5,1,1,5,5,Hamburger-Menue,Erhalten rechtlich Pflicht,nachgewiesen,none
E3,Dokumente Export Archiv,Tresor/Vault Dokumentenspeicher monetarisiert,live eigenes Pricing,src/components/pferdeakte/PferdeakteTresor.tsx;vault_documents,none,identisch,gleiche Dateien,A,4,3,2,4,4,Unterbereich Kunden & Pferde,Erhalten als Add-on,nachgewiesen,none
E4,Dokumente Export Archiv,Verarbeitungsverzeichnis Art 30 nur localStorage,bekannte Luecke,src/pages/admin/Verarbeitungsverzeichnis.tsx,HUFI_TODO.md Punkt 20,identisch,gleiche Datei,B,3,1,2,4,3,Administration,Vor Parken in Supabase migrieren,nachgewiesen,none
C1,Kommunikation Automation,AutoFlow Lead-Termin-Rechnung-Followup,Backend komplett UI-Einstieg entfernt,supabase/functions/autoflow-*,HUFI_ROADMAP.md Schritt 15 toter Link /autoflow,identisch,gleiche Functions,C,4,3,3,3,4,Digitales Business (adaptiv optional),Pruefen ob reaktivierbar,nachgewiesen,none
C2,Kommunikation Automation,Kommunikationsmodus-Einstellung ohne Wirkung,bekannt nicht verkabelt,communication_mode-Feld;CommunicationModeSelector,HUFI_TODO.md Punkt 1,identisch,gleiche Komponente,B,3,1,2,2,3,Unterbereich Anfragen & Nachrichten,Verkabeln oder Label entschaerfen,nachgewiesen,none
C3,Kommunikation Automation,Proaktive Briefings mit dokumentierter Code-Doppelung,live doppelt,src/lib/hufi-briefing.ts;src/lib/hufai-proactive.ts,CLAUDE.md beide Repos bekannte Falle,identisch,gleiche Dateien,B,4,2,2,3,4,Hufi-Startseite,Vor Weiterbau konsolidieren,nachgewiesen,none
C4,Kommunikation Automation,Anomalie-Erkennung,Backend vorhanden kein UI-Konsument gefunden,supabase/functions/anomaly-detection,none,identisch,gleiche Function,C,3,3,3,2,4,Hufi Brain,Pruefen ob als Signal nutzbar,nachgewiesen (Existenz); unklar (Nutzung),Wird diese Funktion irgendwo aufgerufen?
U1,Benutzer Rollen Mandanten,5-Rollen-System provider/client/admin/employee/partner,live,src/components/auth/ProtectedRoute.tsx,none,identisch,gleiche Datei,A,5,2,1,5,5,Fundament (alle Module),Erhalten,nachgewiesen,none
U2,Benutzer Rollen Mandanten,Botschafter-Dashboard-Rolle 14 Dateien,fertig geparkt hinter Feature-Flag,src/pages/botschafter/*;featureFlags.ts botschafterDashboard,HUFI_ROADMAP.md Schritt 15 Pascal-Entscheidung 18.07.2026,identisch,gleiche Dateien,C,3,2,3,3,3,Archiv (vorerst) / Administration bei Reaktivierung,Bewusste Produktentscheidung noetig,nachgewiesen,Fertigbauen archivieren oder in Hufi-weites Programm ueberfuehren?
U3,Benutzer Rollen Mandanten,Stallbetreiber-Rolle 9+ Seiten,fertig geparkt hinter Feature-Flag,src/pages/stallbetreiber/*;featureFlags.ts stallbetreiberRolle,HUFI_ROADMAP.md Schritt 15,identisch,gleiche Dateien,C,3,3,4,3,4,Adaptives Modul (eigenes Berufsprofil),Kandidat fuer frueher Wiederbelebung,nachgewiesen,none
U4,Benutzer Rollen Mandanten,Portal-Whitelabel 6 Fremdzielgruppen,fertig geparkt Demo-Daten,src/pages/portal/*;featureFlags.ts portalWhiteLabel,HUFI_ROADMAP.md Schritt 15,identisch,gleiche Dateien,C,2,4,5,2,3,Archiv,Niedrige Prioritaet hoher Aufwand unklare Nachfrage,nachgewiesen,Gibt es validierten Marktbedarf fuer diese Zielgruppen?
U5,Benutzer Rollen Mandanten,Mandantentrennung ueber SECURITY DEFINER Funktionen,historisch mehrere kritische Lecks 18./27.07.2026 gefixt,supabase/migrations/20260718090000_fix_idor_partner_provider_admin.sql etc,AUDIT_REPORT.md F-1 bis F-8,identisch (gleicher Fix-Stand 420 Migrationen),gleiche Migrationen,A,5,1,1,5,5,Administration,Sicherheitsstatus vor Parken erneut frisch verifizieren,nachgewiesen,Sind die Fixes nach diesem Stand weiterhin unveraendert wirksam?
B1,Business Website Shop,Oeffentliche Landingpage/Website,live,src/components/website/*,none,identisch,gleiche Dateien,A,4,1,2,3,2,wird durch Hufi-Markenauftritt ersetzt,Wird ohnehin ueberarbeitet,nachgewiesen,none
B2,Business Website Shop,Website-Editor No-Code,Code vorhanden verwaist,src/pages/OfficeEditor.tsx;src/pages/MeineWebsite.tsx,HUFI_ROADMAP.md Schritt 15,identisch,gleiche Dateien,D,2,2,4,1,3,Digitales Business (adaptiv optional),Niedrige Prioritaet,nachgewiesen,none
B3,Business Website Shop,Marketplace Pferde-/Leistungsboerse,teils live Browse hinter Flag,src/pages/Marketplace.tsx;src/pages/client/ClientMarketplace*.tsx,HUFI_ROADMAP.md Schritt 15 clientMarketplaceBrowse-Flag,identisch,gleiche Dateien,C,3,3,3,3,4,Adaptives Modul (kuenftig),Kandidat sobald Kernprodukt stabil,nachgewiesen,none
B4,Business Website Shop,BHS-Balance-System Pferde-Abo/Bonusprogramm,live eigenstaendiges Konzept,src/pages/BhsBalanceCockpit.tsx;bhs_horse_subscriptions,none,identisch,gleiche Dateien,A,3,3,3,3,3,Klaerungsbedarf,Strategische Klaerung mit Pascal noetig,nachgewiesen (Existenz); unklar (strategische Absicht),Ist BHS-Balance ein eigenes Produkt oder ein Hufi-Feature?
B5,Business Website Shop,Hufrente Vermittlungsprovisionsmodell,verwaist aber vollstaendig gebaut inkl Bezahlmodell,src/pages/Hufrente.tsx;hufrente_referrals,HUFI_ROADMAP.md Schritt 15 unter 17 verwaisten Seiten,identisch,gleiche Dateien,D,3,4,3,3,4,Klaerungsbedarf (Archiv vorerst),War bezahltes Konzept - Rueckfrage vor Archivierung,nachgewiesen,War Hufrente je aktiv beworben/verkauft und soll das fortgesetzt werden?
B6,Business Website Shop,Academy Kurse Ecosystem,verwaist,src/pages/Academy.tsx;src/pages/Ecosystem.tsx,HUFI_ROADMAP.md Schritt 15,identisch,gleiche Dateien,D,1,1,3,1,2,Archiv,Niedrige Prioritaet,nachgewiesen,none
